Clients,Throughput_ops,Median_Latency_us
2,2025.9582248459292,1023.2719999999999
5,6773.6689715410175,684.223
10,14603.89503259315,662.119
20,29541.5543103326,685.5225
50,24512.385093482382,898.3065
100,29043.91030180847,1620.6734999999999
150,3687.859651339237,2330.0474999999997
200,13592.892945158323,2033.7135
250,9683.081538883509,2175.2995
300,31185.54985456215,1919.839
