Clients,Throughput_ops,Median_Latency_us
2,6035.271999950081,99.5015
5,12965.390932373879,92.042
10,24802.460139764877,367.2095
20,43401.81165223265,364.0285
50,100864.8801671588,464.462
100,22858.068884970296,553.8585
150,22641.770478900587,833.3399999999999
200,18825.282805209583,1655.442
250,92433.69771106276,1683.8255
300,96813.9461867243,1614.2545
