Clients,Throughput_ops,Median_Latency_us
2,14.278107120379019,73.3185
5,22661.99170289488,79.833
10,36519.86197473181,76.3965
20,56900.143679634784,73.9195
50,101142.697344668704,76.545
100,128286.87910949744,84.6875
150,156657.09295458236,80.7055
