Clients,Throughput_ops,Median_Latency_us
2,21644.656653762082,83.495
5,29320.538944827986,154.724
10,29132.241392959866,315.13800000000003
20,29308.803063615116,664.6365000000001
50,27463.116661395787,1502.1705000000002
100,35955.26711242453,2791.564
150,35690.96711667348,4233.1505
300,38342.554691254874,6107.743
500,40105.41551327927,6230.7725
