Clients,Throughput_ops,Median_Latency_us
2,842.9638725890537,88.729
5,845.7724413948981,97.686
10,15487.562502882613,138.0855
20,13313.937199156906,126.2105
50,16246.699364233691,146.2755
100,20754.11133225105,164.6475
150,28467.29926784002,390.997
200,32373.717423181824,507.217
250,36037.17888785338,1348.5895
300,37604.78023346775,2355.44
500,41013.47622373935,5070.066500000001
