Clients,Throughput_ops,Median_Latency_us
2,26.42271794913124,123.0775
5,6241.362789542062,130.689
10,23606.734764038574,143.55349999999999
20,48189.15720983029,209.72050000000002

50,29914.495858617513,336.9665
100,40328.607214242234,815.3545
150,53179.07536270648,583.328
