Clients,Throughput_ops,Median_Latency_us
2,49580.66384839568,39.174499999999995
5,139989.68616112665,33.066
10,194621.85404249106,48.45
20,191289.69435968716,104.55
50,222481.28917401045,233.18200000000002
100,200077.51888600938,526.4275
150,207380.3618336637,777.895
200,210613.4617448295,1044.9205
250,218632.09896754706,1279.246
300,210618.9156282179,1576.6715
