Clients,Throughput_ops,Median_Latency_us
2,14428.596604968185,112.7815
5,15601.785631759753,270.508
10,13248.053322216036,745.2505
20,14018.593226098928,1432.1835
50,14307.123884334893,3524.0495
100,17098.45754827217,5161.628500000001
150,17948.76811317437,5258.023499999999
200,19849.306005342987,5898.9745
250,20722.014336314405,5230.4545
300,19937.33870285894,5795.793
